Title,Price,Rating,Description,Author,LINK
Let me go: To friendship.....with love,$8.99,4.3,"BRAND NEW, Exactly same ISBN as listed, Please double check ISBN carefully before ordering.",Shiram Iyer,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTM4NDI3NDA3NDA5NjQ3OjE2ODA2MDExMTk6c3BfbXRmOjIwMDM2NDE2NDAzNDAyOjowOjo&url=%2FLet-me-go-friendship-love%2Fdp%2F9386538148%2Fref%3Dsr_1_15_sspa%3Fkeywords%3Dromantic%2Bbooks%26qid%3D1680601119%26s%3Dbooks%26sr%3D1-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Wish I Could Tell You,$14.95,4.4,A biggest disappointment. Had expected this book to be in line with his previous ones but couldn't connect. It was an utter disappointment. The story telling is not Durjoy way. Had high hopes from Durjoy but unfortunately I just kept the book away after reading rather after forcing myself to read it till the half. Writing is amatureish.,Datta Durjoy,https://www.amazon.com/Wish-I-Could-Tell-You/dp/0143448331/ref=sr_1_16?keywords=romantic+books&qid=1680601119&s=books&sr=1-16
Never Never: TikTok made me buy it!,$32.95,4 o,"Charlie Wynwood and Silas Nash have been best friends since they could walk. They've been in love since the age of fourteen. But as of this morning… they are complete strangers. Their first kiss, their first fight, the moment they fell in love… every memory has vanished. Now Charlie and Silas must work together to uncover the truth about what happened to them and why. But the more they learn about the couple they used to be… the more they question why they were ever together to begin with. Forgetting is terrifying, but remembering may be worse. The Number One Sunday Times bestselling author of It Ends with Us joins forces with the New York Times bestselling author of The Wives for a gripping, twisty, romantic mystery unlike any other.",Colleen Hoover,https://www.amazon.com/Never-bestselling-romantic-thriller-sensation/dp/0008620482/ref=sr_1_17?keywords=romantic+books&qid=1680601119&s=books&sr=1-17
"One Day, Life Will Change: A story of love and inspiration to win life when it hits you hard . . .",$8.99,4.4,"Love... does it mean running around the trees or vacationing in Switzerland, singing tra-la-la in the snow? Is it about gifting teddy bears and roses to your partner? After losing everything she holds dear... her love, her parents, and even her singing, Samaira is dejected. She is at her lowest point in life and has no idea what she wants. Vivian is the successful and dynamic head of Creative Tanks and dreams of being the top entrepreneur in India. When their paths cross, sparks fly and they are drawn to each other. The aura of mystery around her tugs at Vivian s heartstrings. While Samaira seems intent on running away from love, hope, and her aspirations, Vivian makes it his mission to bring her back on track. Thus begins an intriguing journey for both, from the end to new beginnings. They chase broken dreams against all odds, inspiring one another. As they walk the arduous path of life, will they climb the ladder of success together? Or will they crash and burn?",Saranya Umakanthan,https://www.amazon.com/One-Day-Life-Will-Change/dp/9389717841/ref=sr_1_18?keywords=romantic+books&qid=1680601119&s=books&sr=1-18
No Matter What . . . I will always love you!,$10.99,4.5,"An ordinary-turned-extraordinary tale about the magic of love...   From romantic escapes in the beaches of Goa to witnessing the beautiful Manali sky lit up with fireworks on a Diwali night, Rishi and Mishika’s lives were like an exciting roller-coaster ride every moment that they were together.   But when Mishika disappears on the morning of their engagement without leaving so much as a wisp of a trace behind, Rishi finds himself alone and adrift in a dark sea of doubts and fears. Was this one of those pranks that Mishika loved to pull on him to test his love for her? Or had something happened to her?   Join Rishi as he tries to look for answers in an unforgiving world where holding on to even the slightest bit of hope is a daily struggle. Will he ever find Mishika? Was she even alive? What unbelievable things would his love for her make him do?   From the bestselling author of The Stupid Somebody comes yet another gripping story that will make you laugh, cry, and reaffirm your faith in the strength of love.",Rohit Dawesar,https://www.amazon.com/Matter-What-will-always-love/dp/9390391067/ref=sr_1_23?keywords=romantic+books&qid=1680601119&s=books&sr=1-23
Pride & Prejudice (Deluxe Edition),$17.99,4.8,"This collectable edition is beautifully crafted and designed. Perfect for gifting as well as for keeps. A prized edition for any library. When Elizabeth Bennet meets Fitzwilliam Darcy for the first time at a ball, she writes him off as an arrogant and obnoxious man. He not only acts like an insufferable snob, but she also overhears him rejecting the very idea of asking her for a dance! As life pits them against each other again and again, Darcy begins to fall for Elizabeth's wit and intelligence and Elizabeth begins to question her feelings about Darcy. But when Darcy saves her youngest sister Lydia from a scandal, Elizabeth starts to wonder if her pride has prejudiced her opinion of Darcy. Through this tale about two warring hearts, Jane Austen weaves a witty satire about life in eighteenth century England. And though it was published more than two centuries ago, Pride and Prejudice continues to enthrall readers to this very day. A beautiful classic leather-bound edition, this book is perfect as keepsake.",Jane Austin,https://www.amazon.com/Pride-Prejudice-Deluxe-Hardbound-Austen/dp/938777967X/ref=sr_1_26?keywords=romantic+books&qid=1680601119&s=books&sr=1-26
Everything I Never Told You,$20.12,4.4,"We can live without religion, but we cannot survive without love. Roshan and Soha were not just class-mates and neighbours, but also best friends. They wanted to be together, but the world saw them as a Hindu and a Muslim before everything else. Roshan failed to convince his father and had to let Soha go. He married Manisha with the hope of moving on, and his life unfolded with a new definition of love. When Anuj was born, theirs was a happy family. Soha walked back into his life after Roshan lost Manisha to cancer. History repeats itself after years, but this time, Roshan decides to not give up. His resolve to convince his son brings him to a point where he will have to make a choice. Will Anuj be able to see someone else in place of his mother? Will Roshan be able to choose between Anuj and Soha? Will Soha be able to set herself free of a love she has nurtured all her life? Everything I Never Told You is a burning reminder that the heart knows no restrictions, and of the boundless power of love",Ajay K. Pandey,https://www.amazon.com/Everything-I-Never-Told-You/dp/8194790859/ref=sr_1_28?keywords=romantic+books&qid=1680601119&s=books&sr=1-28
Pride & Prejudice,$13.50,4.6,"When Elizabeth Bennet meets Fitzwilliam Darcy for the first time at a ball, she writes him off as an arrogant and obnoxious man. He not only acts like an unsufferable snob, but she also overhears him rejecting the very idea of asking her for a dance !",Jane Austen,https://www.amazon.com/Pride-Prejudice-Jane-Austen/dp/8172344503/ref=sr_1_29?keywords=romantic+books&qid=1680601119&s=books&sr=1-29
A Tale Of Two Souls,$11.99,4.3,"I thought it was all over until I met her again. I was hurting myself to forget her, and yet I kept falling inlove I saw her, smiling and happy with him. As the tears in my eyes pleaded for freedom, I waited, for her, to give me that one smile... Sometimes life gives you a thousand reasons to fall inlove and just one reason to fall apart. I had stepped on it, and, I had to wait for three years to rediscover the soul within me. But, what happened to her in these three years? Does sheloveme still? This intenselovestory will make your heart fall inloveover and over again.",Anand Kumar,https://www.amazon.com/tale-two-Souls-Anand-Kumar/dp/1646507339/ref=sr_1_30?keywords=romantic+books&qid=1680601119&s=books&sr=1-30
"One Day, Life Will Change: A story of love and inspiration to win life when it hits you hard . . .",$8.99,4.4,"Love... does it mean running around the trees or vacationing in Switzerland, singing tra-la-la in the snow? Is it about gifting teddy bears and roses to your partner? After losing everything she holds dear... her love, her parents, and even her singing, Samaira is dejected. She is at her lowest point in life and has no idea what she wants. Vivian is the successful and dynamic head of Creative Tanks and dreams of being the top entrepreneur in India. When their paths cross, sparks fly and they are drawn to each other. The aura of mystery around her tugs at Vivian s heartstrings. While Samaira seems intent on running away from love, hope, and her aspirations, Vivian makes it his mission to bring her back on track. Thus begins an intriguing journey for both, from the end to new beginnings. They chase broken dreams against all odds, inspiring one another. As they walk the arduous path of life, will they climb the ladder of success together? Or will they crash and burn?",Saranya Umakanthan,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTM4NDI3NDA3NDA5NjQ3OjE2ODA2MDExMTk6c3BfYnRmOjIwMDYwNDU5MTA0ODk4OjowOjo&url=%2FOne-Day-Life-Will-Change%2Fdp%2F9389717841%2Fref%3Dsr_1_31_sspa%3Fkeywords%3Dromantic%2Bbooks%26qid%3D1680601119%26s%3Dbooks%26sr%3D1-31-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"The Malhotra Bride (Core List, Bestseller)",$7.99,3.8,"She is young, ravishing and free-spirited. He is a handsome billionaire. She has fought tooth and nail for things like wearing jeans and riding a horse. He, ultimate among eligible bachelors, has never had a woman refuse him. And both see marriage as a threat to their freedom! When Akshay and Sunitas horoscopes perfectly match, announcing them as made for each other, there is little they can do except meet to honour their parents wishes. Though Akshay becomes curious after one look at her photograph, Sunita has set plans of her own. And when they come face-to-face, she is absolutely determined to get rid of him. But will getting rid of one prospective groom help her get rid of this getting-married business altogether? Equal parts tense and passionately romantic, this tale of love and arranged marriage will not only keep you hooked but will change the way you consider marriages.",Sundari Venkatraman,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTM4NDI3NDA3NDA5NjQ3OjE2ODA2MDExMTk6c3BfYnRmOjIwMDM2NDE2NDE2MjAyOjowOjo&url=%2FMalhotra-Bride-Sundari-Venkatraman%2Fdp%2F9352589475%2Fref%3Dsr_1_32_sspa%3Fkeywords%3Dromantic%2Bbooks%26qid%3D1680601119%26s%3Dbooks%26sr%3D1-32-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Just Missed,$10.99,4.2,"Siddharth aka Mr. Perfectionist is married to his job. Relentlessly toiling for the promotion he wants, he doesnt have time for anything, even a girlfriend. Naturally, marriage is the last thing on his mind . . . but not for his parents, who have plans of their own. Enter Shreya, the girl-next-door. One meeting and Mr. Perfectionist is instantly besottedhe even begins to dream about marrying her. During coffee meetings and long drives, Siddharth comes to know that a boy has entered Shreyas lifean IIT graduate named Shivam Malhotra she met on her flight to Bangkok. Shivam is a flirt, a Casanova, and the type of guy Shreya abhors. But there is more to Shivam than meets the eye. And Shreya, despite herself, finds herself hating him less and less every day . . . The wedding is approaching. What will happen with this trio?",Himanshu Bhatia,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTM4NDI3NDA3NDA5NjQ3OjE2ODA2MDExMTk6c3BfYnRmOjIwMDQ1MzY4NjcyNjAyOjowOjo&url=%2FJust-Missed-Himanshu-Bhatia%2Fdp%2F9390183316%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dromantic%2Bbooks%26qid%3D1680601119%26s%3Dbooks%26sr%3D1-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
